name,suitable_for_cancer
"Jujube, dried, fresh, Chinese",1
"Currants, raw, European black",0
"Pineapple, all varieties, raw",0
"Apples, with skin, Gala, raw",1
"Blueberries, sweetened, dried",0
"Rambutan, syrup pack, canned",0
"Apples, with skin, fuji, raw",1
"Grapefruit juice, raw, white",0
"Cranberry juice, unsweetened",0
"Peppers, raw, red, hot chili",0
"Currants, raw, red and white",1
"Squash, raw (Navajo), Indian",0
"Apricots, sweetened, frozen",1
"Peppers, raw, yellow, sweet",0
"Persimmons, dried, Japanese",1
"Carambola, raw, (starfruit)",1
"Squash, raw, acorn, winter",0
"Pomegranate juice, bottled",0
"Nance, unsweetened, frozen",0
"Carissa, raw, (natal-plum)",0
"Java-plum, raw, (jambolan)",0
"Mammy-apple, raw, (mamey)",0
"Lemons, without peel, raw",1
"Blueberries, frozen, wild",1
"Avocados, California, raw",0
"Feijoa, raw",1
"Jujube, raw",0
"Limes, raw",1
"Pears, raw",1
"Plums, raw",0
"Rowal, raw",0
"herries, raw, red, sour",0
"Blackberry juice, canned",0
"Mango, sweetened, dried",0
"Guavas, raw, strawberry",0
"Pears, green anjou, raw",1
"Melons, raw, cantaloupe",0
"Persimmons, raw, native",0
"Apples, with skin, raw",1
"Oranges, with peel, raw",1
"Avocados, Florida, raw",0
"Melon, banana (Navajo)",0
"Oranges, valencias, California, raw",1
"Cherries, sweetened, frozen, sweet",0
"Cloudberries, raw (Alaska Native)",0
"Grapefruit, California, white, raw",0
"Peaches, uncooked, sulfured, dried",0
"Acerola, raw, (west indian cherry)",0
"Boysenberries, heavy syrup, canned",1
"Boysenberries, unsweetened, frozen",1
"Salmonberries, raw (Alaska Native)",0
"Babyfood, orange and banana, juice",0
"Babyfood, strained, peaches, fruit",0
"Huckleberries, raw (Alaska Native)",0
"Tangerine juice, sweetened, canned",0
"Grapefruit, all areas, white, raw",0
"Apples, uncooked, sulfured, dried",0
"Orange juice, unsweetened, canned",0
"Cranberry juice cocktail, bottled",0
"Babyfood, orange and apple, juice",0
"Babyfood, prune and orange, juice",0
"Blackberries, unsweetened, frozen",1
"Pears, uncooked, sulfured, dried",0
"Blueberries, unsweetened, frozen",1
"Babyfood, apple and grape, juice",0
"Babyfood, apple and peach, juice",0
"Passion-fruit juice, raw, yellow",0
"Raspberries, unsweetened, frozen",1
"Cherries, sweetened, dried, tart",0
"Babyfood, apple and prune, juice",0
"Babyfood, junior, peaches, fruit",0
"Babyfood, strained, pears, fruit",1
"Babyfood, tropical fruit medley",0
"Babyfood, apple-cranberry juice",0
"Babyfood, fruit supreme dessert",1
"Pie fillings, canned, blueberry",0
"Plums, uncooked, dried (prunes)",0
"Babyfood, apple - cherry, juice",0
"Babyfood, apple and plum, juice",0
"Mangosteen, syrup pack, canned",0
"Kiwifruit, raw, ZESPRI SunGold",0
"Blueberries, sweetened, frozen",0
"Babyfood, orange-carrot, juice",0
"Pitanga, raw, (surinam-cherry)",0
"Babyfood, junior, pears, fruit",1
"Plums, wild (Northern Plains Indians)",1
"Raspberries, sweetened, red, frozen",0
"Cherries, unsweetened, frozen, red, sour",0
"Strawberries, sliced, sweetened, frozen",0
"Avocados, all commercial varieties, raw",0
"Blackberries, raw (Alaska Native), wild",0
"Babyfood, strained, tutti frutti, fruit",0
"Grapefruit, Florida, pink and red, raw",0
"Pineapple, drained, juice pack, canned",0
"Apricots, drained, heavy syrup, canned",0
"Strawberries, whole, sweetened, frozen",0
"Blueberries, raw (Alaska Native), wild",0
"Pineapple, drained, juice pack, canned",0
"Apricots, drained, heavy syrup, canned",0
"Strawberries, whole, sweetened, frozen",0
"Oranges, all commercial varieties, raw",1
"Pineapple, traditional varieties, raw",0
"Apples, with skin, red delicious, raw",1
"Peaches, drained, heavy syrup, canned",0
"Babyfood, strained, banana no tapioca",0
"Babyfood, junior, tutti frutti, fruit",0
"Apples, unheated, unsweetened, frozen",0
"Babyfood, strained, applesauce, fruit",0
"Bananas, or banana powder, dehydrated",0
"Apples, with skin, granny smith, raw",1
"Pineapple, sweetened, chunks, frozen",0
"Maraschino cherries, drained, canned",0
"Guava nectar, canned, with sucralose",0
"Papaya, drained, heavy syrup, canned",0
"Tangerines, raw, (mandarin oranges)",0
"Apricots, uncooked, sulfured, dried",0
"Pears, drained, heavy syrup, canned",0
"Plums, drained, heavy syrup, canned",0
"Apples, heated, unsweetened, frozen",0
"Pineapple, extra sweet variety, raw",0
"Rhubarb, with sugar, cooked, frozen",0
"Pears, drained, heavy syrup, canned",0
"Plums, drained, heavy syrup, canned",0
"Apricots, uncooked, sulfured, dried",0
"Tangerines, raw, (mandarin oranges)",0
"Guava nectar, canned, with sucralose",0
"Papaya, drained, heavy syrup, canned",0
Cranberry juice cocktail,0
"Cranberries, raw (Alaska Native), bush, wild",0
"Figs, solids and liquids, water pack, canned",0
"Fruit cocktail, drained, heavy syrup, canned",0
"Babyfood, junior, apple and blueberry, fruit",0
"Babyfood, junior, pears and pineapple, fruit",1
"Babyfood, junior, apple and raspberry, fruit",1
"Prickly pears, raw (Northern Plains Indians)",0
"Babyfood, Banana with orange medley, GERBER",0
"Cherries, drained, water pack, canned, sour",0
"Plantains, Latino restaurant, fried, yellow",0
"Cranberry sauce, OCEAN SPRAY, canned, whole",0
"Raspberries, wild (Northern Plains Indians)",1
"Naranjilla (lulo) pulp, unsweetened, frozen",0
"GLUTINO, Vanilla Creme, Gluten Free Cookies",0
"GLUTINO, Milk Chocolate, Gluten Free Wafers",0
"Babyfood, banana juice with low fat yogurt",0
"Babyfood, strained, peach cobbler, dessert",0
"Babyfood, dry, with bananas, mixed, cereal",0
"Babyfood, strained, green beans and turkey",0
"Babyfood, instant, dry, brown rice, cereal",0
"Babyfood, strained, banana yogurt, dessert",0
"Grapefruit juice, sweetened, canned, white",0
"Beets, solids and liquids, canned, pickled",0
"Beets, solids and liquids, canned, harvard",0
"Candies, with high vitamin C, fruit snacks",0
"Apples, boiled, cooked, without skin, raw",1
"Blueberries, drained, light syrup, canned",0
"Rose Hips, wild (Northern Plains Indians)",1
"Blueberries, frozen (Alaska Native), wild",0
"Pie, commercially prepared, coconut creme",0
"Pie, prepared from recipe, lemon meringue",0
"Applesauce, with salt, sweetened, canned",0
"Grapefruit, all areas, pink and red, raw",0
"Pineapple, solids and liquids, juice pack, canned",0
"Pineapple, solids and liquids, water pack, canned",0
"Passion-fruit, raw, purple, (granadilla)",0
"Babyfood, strained, banana apple dessert",0
"Pineapple, solids and liquids, juice pack, canned",0
"Pineapple, solids and liquids, water pack, canned",0
"Apricot nectar, with added ascorbic acid, canned",0
"Rose Hips, wild (Northern Plains Indians)",1
"Blueberries, drained, light syrup, canned",0
"Blueberries, frozen (Alaska Native), wild",0
"Fruit juice smoothie, BLUE MACHINE, NAKED JUICE",1
"Snacks, fruit, NUTRI-GRAIN Cereal Bars, KELLOGG'S",0
"Cookies, special dietary, peanut butter sandwich",0
"Lambsquarters, with salt, drained, boiled, cooked",0
"Groundcherries, raw, (cape-gooseberries or poha)",0
"Babyfood, junior, applesauce and cherries, fruit",0
"Babyfood, junior, applesauce and apricots, fruit",0
"Fruit juice smoothie, GREEN MACHINE, NAKED JUICE",0
"Pear nectar, without added ascorbic acid, canned",0
"Orange juice, includes from concentrate, chilled",0
"Pears, with added sugar, stewed, sulfured, dried",1
"Beets, solids and liquids, regular pack, canned",0
"Blueberries, drained, heavy syrup, canned, wild",0
"Peaches, solids and liquids, water pack, canned",0
"Peaches, solids and liquids, juice pack, canned",0
"Plums, with added sugar, stewed, dried (prunes)",1
"Babyfood, strained, apricot with tapioca, fruit",0
"Peach nectar, with added ascorbic acid, canned",0
"Guava nectar, with added ascorbic acid, canned",0
"Babyfood, strained, apple and blueberry, fruit",0
"Babyfood, junior, banana and strawberry, fruit",0
"Babyfood, junior, applesauce and cherries, fruit",0
"Babyfood, junior, applesauce and apricots, fruit",0
"Fruit juice smoothie, GREEN MACHINE, NAKED JUICE",0
"Pear nectar, without added ascorbic acid, canned",0
"Pears, with added sugar, stewed, sulfured, dried",1
"Frozen novelties, juice with cream, juice type",0
"Babyfood, strained, pears and pineapple, fruit",1
"Babyfood, strained, apple and raspberry, fruit",1
"Babyfood, junior, bananas with tapioca, fruit",0
"Babyfood, strained, banana with mixed berries",0
"Pear nectar, with added ascorbic acid, canned",0
"Babyfood, toddler, fruit medley, juice treats",0
"Pears, solids and liquids, water pack, canned",0
"Pears, solids and liquids, juice pack, canned",0
"Beverages, Limeade, Lemonada, MINUTE MAID",0
"Chokecherries, pitted (Shoshone Bannock), raw",1
"Apples, microwave, cooked, without skin, raw",1
"Figs, solids and liquids, heavy syrup pack, canned",0
"Babyfood, strained, blueberry yogurt, dessert",0
"Babyfood, fruit filling, fortified cereal bar",0
"Apples, without added sugar, stewed, sulfured, dried",0
"Blueberries, solids and liquids, heavy syrup, canned",0
"Chokecherries, pitted (Northern Plains Indians), raw",0
"Fruit juice smoothie, strawberry banana, NAKED JUICE",0
"Peaches, stewed, sulfured, dehydrated (low-moisture)",0
"Pears, solids and liquids, heavy syrup pack, canned",0
"Apples, stewed, sulfured, dehydrated (low moisture)",0
"Apricots, with added sugar, stewed, sulfured, dried",1
"Apricot nectar, without added ascorbic acid, canned",0
"Babyfood, strained, applesauce and pineapple, fruit",0
"Apples, heated, drained, sliced, sweetened, canned",1
"Babyfood, strained, applesauce and cherries, fruit",0
"Babyfood, strained, applesauce and apricots, fruit",0
"Figs, solids and liquids, light syrup pack, canned",0
"Tangerines, juice pack, canned, (mandarin oranges)",0
"Plums, without added sugar, stewed, dried (prunes)",0
"Peaches, with added sugar, stewed, sulfured, dried",1
"Apples, with added sugar, stewed, sulfured, dried",0
"Peach nectar, without added ascorbic acid, canned",0
"Grapefruit juice, with added calcium, pink or red",0
"Babyfood, junior, applesauce and pineapple, fruit",0
"Gooseberries, solids and liquids, light syrup pack, canned",1
"Strawberries, solids and liquids, heavy syrup pack, canned",0
"Pears, solids and liquids, extra light syrup pack, canned",0
"Pears, solids and liquids, extra heavy syrup pack, canned",0
"Babyfood, strained, guava and papaya with tapioca, fruit",0
"Babyfood, strained, bananas with apples and pears, fruit",0
"Figs, solids and liquids, extra heavy syrup pack, canned",0
"Orange juice, undiluted, unsweetened, frozen concentrate",0
"Tangerines, light syrup pack, canned, (mandarin oranges)",0
"Pineapple, solids and liquids, heavy syrup pack, canned",0
"Cherries, solids and liquids, water pack, canned, sweet",0
"Cherries, solids and liquids, juice pack, canned, sweet",0
"Pineapple, solids and liquids, light syrup pack, canned",0
"Grapefruit juice, unsweetened, canned or bottled, white",0
"Juice, with added ascorbic acid, apple and grape blend",0
"Peaches, solids and liquids, extra light syrup, canned",0
"Apricots, without added sugar, stewed, sulfured, dried",0
"Peaches, uncooked, sulfured, dehydrated (low-moisture)",0
"Apples, uncooked, sulfured, dehydrated (low moisture)",0
"Cherries, drained, heavy syrup, pitted, canned, sweet",0
"Plums, solids and liquids, juice pack, purple, canned",0
"Plums, solids and liquids, water pack, purple, canned",0
"Grapefruit, California and Arizona, pink and red, raw",0
"Peaches, without added sugar, stewed, sulfured, dried",0
"Apricots, solids and liquids, without skin, water pack, canned",0
"Raspberries, solids and liquids, heavy syrup pack, red, canned",0
"Corn, solids and liquids, no salt added, canned, yellow, sweet",0
"Apricots, solids and liquids, extra light syrup, canned",0
"Peaches, solids and liquids, extra light syrup, canned",0
"Peaches, uncooked, sulfured, dehydrated (low-moisture)",0
"Apples, uncooked, sulfured, dehydrated (low moisture)",0
"Cherries, drained, heavy syrup, pitted, canned, sweet",0
"Plums, solids and liquids, juice pack, purple, canned",0
"Plums, solids and liquids, water pack, purple, canned",0
"Peaches, without added sugar, stewed, sulfured, dried",0
"Apples, without added sugar, stewed, sulfured, dried",0
"Pears, solids and liquids, extra light syrup, canned",0
"Pineapple, solids and liquids, extra heavy syrup pack, canned",0
"Cherries, solids and liquids, light syrup pack, canned, sweet",0
"Babyfood, strained, bananas and pineapple with tapioca, fruit",0
"Peaches, solids and liquids, heavy syrup pack, canned, spiced",0
"Grapefruit, solids and liquids, water pack, canned, sections",0
"Beverages, canned, without added nutrients, fruit punch drink",0
"Babyfood, strained, vegetables and noodles and turkey, dinner",0
"Peaches, solids and liquids, extra light syrup, canned",0
"Apples, uncooked, sulfured, dehydrated (low moisture)",0
"Pears, solids and liquids, extra light syrup, canned",0
"Babyfood, strained, with applesauce and bananas, rice, cereal",0
"Pickles, sweet (includes bread and butter pickles), cucumber",0
"Apples, without added sugar, stewed, sulfured, dried",0
"Peaches, without added sugar, stewed, sulfured, dried",0
"Plums, solids and liquids, juice pack, purple, canned",0
"Plums, solids and liquids, water pack, purple, canned",0
"Cherries, solids and liquids, heavy syrup pack, red, canned",0
"Raspberries, solids and liquids, heavy syrup pack, red, canned",0
"Beverages, bottled, Cranberry-Apple Juice Drink, OCEAN SPRAY",0
"Grapefruit, solids and liquids, juice pack, canned, sections",0
"Apricots, solids and liquids, with skin, water pack, canned",0
"Apricots, solids and liquids, with skin, juice pack, canned",0
"Plums, solids and liquids, light syrup pack, purple, canned",0
"Plums, solids and liquids, heavy syrup pack, purple, canned",0
"Tangerines, drained, juice pack, canned, (mandarin oranges)",0
"Cherries, solids and liquids, extra heavy syrup pack, canned, red, sour",0
"Pineapple juice, undiluted, unsweetened, frozen concentrate",0
"Babyfood, junior, bananas and pineapple with tapioca, fruit",0
"Peaches, solids and liquids, extra heavy syrup pack, canned",0
"Toaster pastries, fruit (includes apple, blueberry, cherry, strawberry)",0
"Applesauce, without salt (includes USDA commodity), sweetened, canned",0
"Apple juice, with added ascorbic acid, unsweetened, canned or bottled",0
"Grape juice, with added ascorbic acid, unsweetened, canned or bottled",0
"Cherries, solids and liquids, heavy syrup pack, pitted, canned, sweet",0
"Apricots, solids and liquids, without skin, heavy syrup pack, canned",0
"Grapes, raw, red or green (European type, such as Thompson seedless)",0
"Babyfood, toddler fortified, instant, dry, oatmeal cereal with fruit",0
"FARLEY Fruit Snacks, FARLEY CANDY",0
"Orange juice, with added calcium, includes from concentrate, chilled",0
"Babyfood, strained, without ascorbic acid, plums with tapioca, fruit",0
"Cherries, solids and liquids, extra heavy syrup pack, canned, sweet",0
"Grapefruit juice, undiluted, unsweetened, frozen concentrate, white",0
"Babyfood, junior, without ascorbic acid, prunes with tapioca, fruit",0
"Grapefruit, solids and liquids, light syrup pack, canned, sections",0
"Apricots, solids and liquids, with skin, heavy syrup pack, canned",0
"Apricots, solids and liquids, with skin, light syrup pack, canned",0
"Plums, solids and liquids, extra heavy syrup pack, purple, canned",0
"Grapes, solids and liquids, water pack, thompson seedless, canned",0
"Cherries, solids and liquids, heavy syrup pack, canned, red, sour",0
"Cherries, solids and liquids, light syrup pack, canned, red, sour",0
"USDA Commodity, drained, light syrup, canned, mixed fruit (peaches, pears, grapes)",0
"Corn, without salt, drained, boiled, cooked, kernels on cob, frozen, white, sweet",1
"Grape juice, with added ascorbic acid and calcium, unsweetened, canned or bottled",0
"Corn, without salt, drained, boiled, kernels cut off cob, frozen, yellow, sweet",1
"Corn, with salt, drained, boiled, cooked, kernels on cob, frozen, yellow, sweet",0
"Babyfood, prepared with whole milk, with apple and orange, high protein, cereal",0
"Corn, with salt, drained, boiled, cooked, kernels on cob, frozen, white, sweet",0
"Corn, without salt, drained, boiled, kernels cut off cob, frozen, white, sweet",1
"Pineapple juice, without added ascorbic acid, unsweetened, canned or bottled",0
"Corn, solids and liquids, no salt added, whole kernel, canned, white, sweet",0
"Corn, solids and liquids, no salt added, whole kernel, canned, white, sweet",0
"Apricots, solids and liquids, without skin, extra heavy syrup pack, canned",0
"Pineapple juice, with added ascorbic acid, unsweetened, canned or bottled",0
"Grape juice, without added ascorbic acid, unsweetened, canned or bottled",0
"Apricots, solids and liquids, with skin, extra light syrup pack, canned",0
"Eggplant, raw",1
"Cauliflower, raw",1
"Taro leaves, raw",1
"Peppers, raw, jalapeno",1
"Winged bean tuber, raw",1
"Grapes, raw, muscadine",1
"Broccoli, raw, Chinese",1
"Broccoli, raw, leaves",1
"Tomatoes, raw, orange",1
"Tomatoes, raw, yellow",1
"Brussels sprouts, raw",1
"Mushrooms, raw, enoki",1
"Mushrooms, raw, white",1
"Mushrooms, raw, morel",1
"Cucumber, raw, peeled",1
"Dandelion greens, raw",1
"Peppers, raw, serrano",1
"Cabbage, cooked, napa",1
"Drumstick leaves, raw",1
"Broccoli raab, cooked",1
"Fiddlehead ferns, raw",1
"Yautia (tannier), raw",1
"Fireweed, raw, leaves",1
"Chicory, raw, witloof",1
"Yambean (jicama), raw",1
"Melons, raw, honeydew",1
"Horseradish, prepared",1
"Chives, freeze-dried",1
"Pumpkin flowers, raw",1
"Amaranth leaves, raw",1
"Mustard greens, raw",1
"Chicory greens, raw",1
"Chayote, raw, fruit",1
"Seaweed, raw, laver",1
"Seaweed, raw, wakame",1
"Seaweed, dried, agar",1
"Pepper, raw, banana",1
"Drumstick pods, raw",1
"Pumpkin leaves, raw",1
"Melons, raw, casaba",1
"Broccoli raab, raw",1
"Corn grain, yellow",1
"Chicory roots, raw",1
"Carrots, raw, baby",1
"Onions, raw, sweet",1
"Onions, raw, welsh",1
"Bamboo shoots, raw",1
"Yardlong bean, raw",1
"Cress, raw, garden",1
"Lambsquarters, raw",1
"Turnip greens, raw",1
"Chard, raw, swiss",1
"Burdock root, raw",1
"Kale, raw, scotch",1
"Fennel, raw, bulb",1
"Gooseberries, raw",1
"Dill weed, fresh",1
"Spearmint, fresh",1
"Beet greens, raw",1
"Cabbage, raw, red",1
"Blackberries, raw",1
"Raspberries, raw",1
"Taro shoots, raw",1
"Rosemary, fresh",1
"Tomatillos, raw",1
"Lotus root, raw",1
"Watercress, raw",1
"Asparagus, raw",1
"Broccoli, raw",1
"Radishes, raw",1
"Carrots, raw",1
"Cabbage, raw",1
"Kohlrabi, raw",1
"Celeriac, raw",1
"Cardoon, raw",1
"Rhubarb, raw",1
"Nopales, raw",1
"Abiyuch, raw",1
"Pumpkin, raw",1
"Parsley, fresh",1
"Purslane, raw",1
"Basil, fresh",1
"Thyme, fresh",1
"Collards, raw",1
"Epazote, raw",1
"Cornsalad, raw",1
"Radicchio, raw",1
"Arugula, raw",1
"Spinach, raw",1
"Celery, raw",1
"Beets, raw",1
"Kale, raw",1
"Okra, raw",1
"Taro, raw",1
"Dock, raw",1
"Winged bean leaves, raw",1
"Borage, raw",1
"Endive, raw",1
"Turnips, raw",1
"Chives, raw",1
"Eggplant, pickled",0
"Butterbur, canned",0
"Pimento, canned",0
"Onions, raw",1
"Garlic, raw",1
"Peppers, canned, green, chili",1
"Mushrooms, raw, portabella",1
"Roselle, raw",1
"Spices, dried, coriander leaf",1
"Lemon grass (citronella), raw",1
"Asparagus, unprepared, frozen",1
"Lettuce, raw, cos or romaine",1
"Peppers, sauteed, red, sweet",1
"Squash, raw, hubbard, winter",1
"Alfalfa seeds, raw, sprouted",1
"Peppers, raw, red, hot chili",1
"Squash, raw, scallop, summer",1
"Currants, raw, red and white",1
"Radish seeds, raw, sprouted",1
"Chrysanthemum, raw, garland",1
"Vinespinach, raw, (basella)",1
"Squash, raw, baby, zucchini",1
"Turnips, unprepared, frozen",1
"Carrots, unprepared, frozen",1
"Peppers, raw, yellow, sweet",1
"Peppers, raw, green, sweet",1
"Lentils, raw, pink or red",1
"Rhubarb, uncooked, frozen",1
"Chrysanthemum leaves, raw",1
"Taro, without salt, cooked",1
"Broccoli, cooked, Chinese",1
"Lemons, without peel, raw",1
"Edamame, prepared, frozen",1
"Sweet potato leaves, raw",1
"Kale, unprepared, frozen",1
"Mushrooms, raw, shiitake",1
"New Zealand spinach, raw",1
"Lettuce, raw, green leaf",1
"Peppers, raw, red, sweet",1
"Corn, raw, yellow, sweet",1
"Beans, raw, yellow, snap",1
"Peas, raw, edible-podded",1
"Cauliflower, raw, green",1
"Cucumber, raw, with peel",1
"Cowpeas, raw, leafy tips",1
"Okra, unprepared, frozen",1
"Malabar spinach, cooked",1
"Peppers, raw, Hungarian",1
"Radishes, raw, oriental",1
"Mushrooms, raw, maitake",1
"Shallots, freeze-dried",1
"Potatoes, raw, flesh and skin, red",1
"Mustard greens, unprepared, frozen",1
"Squash, raw, all varieties, summer",1
"Squash, raw, all varieties, winter",1
"Artichokes, raw, (globe or french)",1
"Cabbage, raw, Chinese (pak-choi)",1
"Sweet potato, unprepared, frozen",1
"Salsify, raw, (vegetable oyster)",1
"Lima beans, raw, immature seeds",1
"Beans, raw, mature seeds, adzuki",1
"Beans, raw, mature seeds, white",1
"Corn flour, yellow, whole-grain",1
"Broadbeans, raw, immature seeds",1
"Eppaw, raw",0
"Beets, drained solids, canned",0
"Peppers, canned, hot pickled",0
"Mushrooms, microwaved, white",0
"Squash, raw (Navajo), Indian",0
"Mushrooms, raw, Chanterelle",0
"Corn, steamed (Navajo), white",0
"Peppers, raw, red, hot chili",0
"Radishes, raw, white icicle",0
"Mountain yam, raw, Hawaii",0
"Blueberries, frozen, wild",0
"Taro shoots, without salt, cooked",0
"Onions, unprepared, chopped, frozen",0
"Cowpeas, raw, young pods with seeds",0
"Beans, raw, mature seeds, French",0
"Taro, with salt, cooked, shoots",0
"Mashu roots, raw (Alaska Native)",0
"Corn, raw, yellow, sweet",0
"Gourd, raw, dishcloth (towelgourd)",0
"Asparagus, drained solids, canned",0
"Onions, solids and liquids, canned",0
"Asparagus, drained, boiled, cooked",0
"Beans, raw, mature seeds, French",0
"Peas, unprepared, frozen, green",1
"Tree fern, without salt, cooked",1
"Cabbage, raw, Chinese (pe-tsai)",1
"Cauliflower, unprepared, frozen",1
"Squash, raw, butternut, winter",1
"Peppers, sauteed, green, sweet",1
"Squash, raw, spaghetti, winter",1
"Beans, microwaved, green, snap",1
"Onions, tops only, young green",1
"Mushrooms, grilled, portabella",1
"Peppers, sun-dried, hot chile",1
"Nopales, without salt, cooked",1
"Potatoes, raw, flesh and skin",1
"Peas and carrots, unprepared, frozen",1
"Cabbage, pickled, fresh, Japanese style",1
"Beans, raw, mature seeds, black turtle",1
"Squash, baby food, strained, vegetables",1
"Tomatoes, with salt, cooked, ripe, red",1
"Potatoes, baked, flesh and skin, white",1
"Mushrooms, with salt, cooked, shiitake",1
"Broccoli, unprepared, chopped, frozen",1
"Cauliflower, with salt, cooked, green",1
"Water chestnuts, raw, (matai), Chinese",1
"Vegetables, unprepared, frozen, mixed",1
"Potatoes, raw, flesh and skin, russet",1
"Gourd, raw, white-flowered (calabash)",1
"Bamboo shoots, drained solids, canned",1
"Balsam-pear (bitter gourd), raw, pods",1
"Broccoli, unprepared, spears, frozen",1
"Broccoli, with salt, drained, boiled, cooked",1
"Brussels sprouts, unprepared, frozen",1
"Turnip greens, no salt added, canned",1
"Mustard spinach, raw, (tendergreen)",1
"Peas and onions, unprepared, frozen",1
"Peppers, freeze-dried, green, sweet",1
"Tomatoes, stewed, cooked, ripe, red",1
"Baby food, junior, sweet potatoes, vegetables",1
"Eggplant, with salt, drained, boiled, cooked",1
"Spinach, unprepared, chopped or leaf, frozen",1
"Lambsquarters, raw (Northern Plains Indians)",1
"Squash, raw, includes skin, zucchini, summer",1
"Baby food, junior, green beans, vegetables",1
"Kale, without salt, drained, boiled, cooked",1
"Okra, without salt, drained, boiled, cooked",1
"Tomatoes, drained, packed in oil, sun-dried",1
"Sweet potato, without skin, boiled, cooked",1
"Mushrooms, raw, or crimini, Italian, brown",1
"Baby food, strained, mixed vegetable, dinner",1
"Leeks, raw, (bulb and lower leaf-portion)",1
"Mushrooms, without salt, cooked, shiitake",1
"Cauliflower, no salt added, cooked, green",1
"Pigeon peas (red gram), raw, mature seeds",1
"Balsam-pear (bitter gourd), raw, leafy tips",1
"Pokeberry shoots, raw, (poke)",0
"Potatoes, unprepared, dry mix, scalloped",0
"Potatoes, unprepared, dry mix, au gratin",0
"Caribou, raw (Alaska Native), tongue",0
"Potatoes, with salt, skin only, baked",0
"Beets, solids and liquids, canned, pickled",0
"Beets, solids and liquids, canned, harvard",0
"Beets, with salt, boiled, drained, cooked",0
"Vegetables, drained solids, canned, mixed",0
"Potatoes, unprepared, frozen, o'brien",0
"Rhubarb, leaves (Alaska Native), wild",0
"Beans, raw, mature seeds, royal red, kidney",0
"Beans, raw, mature seeds, cranberry (roman)",0
"Peas and onions, solids and liquids, canned",0
"Baby food, strained, creamed, corn, vegetables",0
"Okra, with salt, drained, boiled, cooked",0
"Tomatoes, with salt, cooked, ripe, red",0
"Mushrooms, drained solids, canned, straw",0
"Beets, solids and liquids, canned, harvard",0
"Celery, without salt, drained, boiled, cooked",1
"Baby food, strained, garden vegetable, vegetables",1
"Beets, solids and liquids, no salt added, canned",1
"Lambsquarters, steamed (Northern Plains Indians)",1
"Escarole, no salt added, drained, boiled, cooked",1
"Peppers, unprepared, chopped, frozen, red, sweet",1
"Kale, without salt, drained, boiled, cooked, frozen",1
"Rutabagas, without salt, drained, boiled, cooked",1
"Kohlrabi, without salt, drained, boiled, cooked",1
"Potatoes, no salt added, drained solids, canned",1
"Squash, canned, Italian style, zucchini, summer",1
"Peas, with salt, drained, boiled, cooked, green",1
"Cardoon, without salt, drained, boiled, cooked",1
"Carrots, without salt, drained, boiled, cooked",1
"Pumpkin, without salt, drained, boiled, cooked",1
"Broccoli, without salt, drained, boiled, cooked",1
"Succotash, unprepared, frozen, (corn and limas)",1
"Beet greens, with salt, drained, boiled, cooked",1
"Eggplant, without salt, drained, boiled, cooked",1
"Collards, without salt, drained, boiled, cooked",1
"Celeriac, without salt, drained, boiled, cooked",1
"Purslane, without salt, drained, boiled, cooked",1
"Tomatoes, with green chilies, canned, ripe, red",1
"Parsnips, without salt, drained, boiled, cooked",1
"Squash, raw, crookneck and straightneck, summer",1
"Prairie Turnips, raw (Northern Plains Indians)",1
